TID,UA
TID_WHIRLWIND_DESC,"Карл кидає кирку, немов бумеранг.\nЙого Супер — шалене обертання вагонетки, що збиває всіх навколо."
TID_WHIRLWIND_WEAPON,КИРКА
TID_WHIRLWIND_ULTI,ДЗИҐА
TID_WHIRLWIND_WEAPON_DESC,"Карл кидає кирку, немов бумеранг. Щойно кирка прилітає назад, він може метнути її знову."
TID_WHIRLWIND_ULTI_DESC,"Карл крутиться дзиґою протягом кількох секунд, збиваючи ворогів, які перебувають поруч, і завдаючи їм шкоди."
TID_STAT_DAMAGE_EACH_WAY,Пошкодження під час влучення
TID_STAT_DAMAGE_PER_SWING,Пошкодження від обертання
TID_HINT_43,"Якщо кирка Карла вдариться об перешкоду, то відскочить і повернеться назад. Це дозволить Карлу скористатися нею знову швидше."
TID_SPEC_ABI_PROJECTILE_SPEED,Підсилений кидок
TID_SPEC_ABI_PROJECTILE_SPEED_DESC,"Карл кидає кирку на <c00cc00><VALUE1> %</c> сильніше ніж звичайно, так що вона летить і повертається швидше."
TID_SPEC_ABI_SUPERSPEED,Розкрутка
TID_SPEC_ABI_SUPERSPEED_DESC,"Вагонетка Карла, що крутиться, набирає додаткову швидкість, поки діє його Супер!"
TID_HERO_SORTING_TROPHIES,Найменше трофеїв
TID_HERO_SORTING_TROPHIES_DESC,Найбільше трофеїв
TID_HERO_SORTING_RARITY,Спочатку менш рідкісні
TID_HERO_SORTING_RARITY_DESC,Спочатку більш рідкісні
TID_HERO_SORTING_POWER_DESC,Рівень сили
TID_HERO_SORTING_RANKUP,Ближче до нового рангу
TID_MUTE_INVITES_LABEL,Не турбувати:
TID_GEM_BALANCE_TITLE,Всього кристалів
TID_JP_BUTTON,Всього кристалів
TID_GEM_BALANCE,Всього кристалів зараз: <total>\n\nБезкоштовні кристали: <free>\n\nКуплені кристали: <paid>
TID_IAP_INFO_TEXT,"Відмова від підписки може бути здійснена протягом 7 днів з дати купівлі (але не може бути відмовлено, якщо використовується)."
TID_SETTINGS_LINE,LINE
TID_AVATAR_MESSAGE_TEXT_GEM_REVOKE,"Або за операцією, зробленою власником цього облікового запису, було оформлене повернення коштів <DATE>, або ця операція була визнана шахрайською. Якщо запитано повернення, то кошти будуть повернуті тим самим способом, яким була здійснена оплата. З вашого рахунку списана відповідна кількість кристалів — <X>. Це могло призвести до від'ємного балансу кристалів. Відновити баланс можна, здійснюючи додаткові купівлі чи збираючи ресурси в грі."
TID_HERO_DISABLED_CURRENTLY,Цей боєць тимчасово недоступний
TID_SKIN_FARMER_POCO,ФЕРМЕР ПОКО
TID_SKIN_FARMER_POCO_SHOP,ФЕРМЕР\nПОКО
TID_UNDERTAKER_NIGHTWITCH_SKIN,НІЧНА ВІДЬМА МОРТИС
TID_UNDERTAKER_NIGHTWITCH_SKIN_SHOP,НІЧНА ВІДЬМА\nМОРТИС
TID_FRIEND_ADDED,Тепер <FRIEND> — твій друг!
TID_IAP_REFRESHER_BUNDLE,Новий комплект
TID_IAP_REFRESHER_PACK,Новий набір
TID_IAP_WOMENS_DAY_1,Жіноча сила
TID_IAP_WOMENS_DAY_2,З 8 березня!
TID_IAP_LIMITED_TIME_DISCOUNT,Тимчасова знижка
TID_IAP_GOLDENWEEK_PACK,Весняний набір
TID_IAP_GOLDENWEEK_PACK_DESC,З нагоди весняних свят
TID_LIMITED_AVAILABILITY,"Хапай, поки є"
TID_ROBO_WARS_2,Механічний матч
TID_ROBO_WARS_3,Заводська лихоманка
TID_ROBO_WARS_4,Складальний наступ
TID_ROBO_WARS_5,Повний демонтаж
TID_ROBO_WARS_6,Ботобійня
TID_ROBO_WARS_7,Болти та гайки
TID_ROBO_WARS_8,Доробка напилком
TID_ROBO_WARS_9,Облога фабрики
TID_GOLDRUSH_12,Алмазний пил
TID_GOLDRUSH_13,Чотири кути
TID_GOLDRUSH_14,Вигідна позиція
TID_GOLDRUSH_15,Стриб-скік
TID_GOLDRUSH_16,Зворотний відлік
TID_GOLDRUSH_17,Швидкісний обгін
TID_GOLDRUSH_18,Міцна ланка
TID_BATTLE_ROYALE_13,Примарна точка
TID_BATTLE_ROYALE_14,Двір
TID_BATTLE_ROYALE_15,Сонячний годинник
TID_BATTLE_ROYALE_16,Суперзірка
TID_BATTLE_ROYALE_17,Темний прохід
TID_BATTLE_ROYALE_18,Годинниковий механізм
TID_BALL_8,Кидок з відскоком
TID_BALL_9,Ігровий майданчик
TID_BALL_10,Пенальті
TID_BALL_11,Заміна на полі
TID_BANKHEIST_14,Королівська арена
TID_HERO_DISABLED_CURRENTLY_PRINT,Цей боєць тимчасово недоступний. Спробуй ще раз пізніше!
TID_NEXT_ROBO_IN,Наступна облога через
TID_ROBO_WARS_OWN_ROBO_SPAWNED,<c998888ff>АТАКУЙ</c> з <c998888ff>ОБЛОГОВИМ РОБОТОМ</c> <num>-го рівня!
TID_ROBO_WARS_ENEMY_ROBO_SPAWNED,<c99dd3333>ЗАХИЩАЙСЯ</c> від <c99dd3333>ОБЛОГОВОГО РОБОТА</c> <num>-го рівня!
TID_HERO_DISABLED_CURRENTLY_START_GAME,Цей боєць тимчасово недоступний. Спробуй вибрати іншого!
TID_HERO_COMING_SOON,Незабаром з'явиться новий боєць!
TID_NO_ROBOS_SPAWNED,Нічия! ОБЛОГИ не буде.
TID_LAST_ROBO_IN,Остання облога через
TID_ROBO_LEVEL,Облоговий робот <num>-го рівня
TID_BATTLE_ROYALE_19,Валуни
TID_BATTLE_ROYALE_20,Опала зірка
TID_BATTLE_ROYALE_21,Око бурі
TID_BATTLE_ROYALE_22,Заливні луки
TID_BATTLE_ROYALE_23,Річкові пороги
TID_BATTLE_ROYALE_24,Подвійна гра
TID_BATTLE_ROYALE_25,Сад за стіною
TID_BATTLE_ROYALE_26,Замковий двір
TID_BATTLE_ROYALE_27,Сніг і сажа
TID_BALL_12,Давай драла
TID_BALL_13,Бойова позиція
TID_BALL_14,Ігровий автомат
TID_BALL_15,Пінбол
TID_BALL_16,Льох із бочками
TID_GOLDRUSH_19,Капкан
TID_GOLDRUSH_20,Шах і мат
TID_GOLDRUSH_21,Короткий шлях
TID_GOLDRUSH_22,Гострий кут
TID_GOLDRUSH_23,Відбите відлуння
TID_GOLDRUSH_24,Ділення клітини
TID_GOLDRUSH_25,Вжух-вжух
TID_GOLDRUSH_26,Інь і ян
TID_ROBO_HEALTH,ОБЛОГОВИЙ РОБОТ:
TID_TEAMING_WARNING,"<c99dd3333>АТАКУЙ ВОРОГІВ,</c> або на тебе обрушаться <c99dd3333>СУПЕРМЕТЕОРИТИ!</c>"
TID_FREE_NAME_CHANGE_INTRO_TEXT,Змінити ім'я безкоштовно можна тільки раз. Обміркуй свій вибір як слід — у майбутньому змінити ім'я вийде тільки за кристали.
TID_PAID_NAME_CHANGE_INTRO_TEXT,"Змінити ім'я за кристали?\nЯкщо вибране непристойне ім'я, ми залишаємо за собою право змінити його, не повертаючи кристали."
TID_NAME_CHANGE_INTRO_TITLE,ЗМІНИТИ ІМ'Я
TID_NAME_CHANGE_ON_COOLDOWN,Змінити ім'я знову можна буде через <time>
TID_NAME_CHANGE_FREE,БЕЗКОШТОВНО
TID_PLAYER_YOU,ТИ
TID_NEWS_TAB_NEWS,НОВИНИ
TID_NEWS_TAB_VIDEOS,ВІДЕО
TID_VS_TRAINING,Тренувальна печера
TID_TRAINING_DPS,Пошкодження за секунду:
TID_SHOP_SHORTCUT_1,АКЦІЇ
TID_SHOP_SHORTCUT_2,АКЦІЇ ДНЯ
TID_SHOP_SHORTCUT_NOT_USED,ЯЩИКИ
TID_SHOP_SHORTCUT_3,СКІНИ
TID_SHOP_SHORTCUT_4,ЗОРЯНА КРАМНИЦЯ
TID_SHOP_SHORTCUT_5,РЕСУРСИ
TID_SHOP_NOTIFICATION_NEW,НОВИНКА!
TID_SHOP_NOTIFICATION_FREE,ПОДАРУНОК!
TID_SKIN_INFO_INCLUDES,Скін містить:\n
TID_SKIN_INFO_NORMAL,— особливу модель бійця.
TID_SKIN_INFO_NORMAL_PET,— особливу модель бійця;\n— особливу модель компаньйона.
TID_SKIN_INFO_NORMAL_TURRET,— особливу модель бійця;\n— особливу модель турелі.
TID_SKIN_INFO_FX,— особливу модель бійця;\n— особливі ефекти.
TID_SKIN_INFO_ANIM_PET,— особливу модель бійця;\n— особливу модель компаньйона;\n— особливу анімацію.
TID_SKIN_INFO_ANIM_FX_SOUND_TURRET,— особливу модель бійця;\n— особливу модель турелі;\n— особливі ефекти;\n— особливу анімацію;\n— особливий звуковий супровід.
TID_SKIN_INFO_ANIM_TURRET,— особливу модель бійця;\n— особливу модель турелі;\n— особливу анімацію.
TID_SKIN_INFO_ANIM_FX,— особливу модель бійця;\n— особливі ефекти;\n— особливу анімацію.
TID_SKIN_INFO_FX_SOUND,— особливу модель бійця;\n— особливі ефекти;\n— особливий звуковий супровід.
TID_SKIN_INFO_SOUND,— особливу модель бійця;\n— особливий звуковий супровід.
TID_SKIN_INFO_ANIM_FX_PET,— особливу модель бійця;\n— особливу модель компаньйона;\n— особливі ефекти;\n— особливу анімацію.
TID_SKIN_INFO_ANIM_FX_SOUND_PET,— особливу модель бійця;\n— особливу модель компаньйона;\n— особливі ефекти;\n— особливу анімацію;\n— особливий звуковий супровід.
TID_SKIN_INFO_ANIM_FX_TURRET,— особливу модель бійця;\n— особливу модель турелі;\n— особливі ефекти;\n— особливу анімацію.
TID_SKIN_INFO_ANIM,— особливу модель бійця;\n— особливу анімацію.
TID_SKIN_INFO_ANIM_SOUND_FX,— особливу модель бійця;\n— особливі ефекти;\n— особливу анімацію;— особливий звуковий супровід.
TID_GOLDRUSH_27,Шахтарський потяг
TID_BUTTON_SETTINGS,НАЛАШТУВАННЯ
TID_BUTTON_BATTLELOG,ДАНІ БОЮ
TID_BUTTON_LEADERBOARD,СПИСКИ ЛІДЕРІВ
TID_BUTTON_BRAWLTV,BRAWL TV
TID_BUTTON_NEWS,НОВИНИ
TID_BRAWL_TV_LIVE,ПРЯМИЙ ЕФІР
TID_BUTTON_TEST_HERO,ВИПРОБУВАТИ
TID_CONTENT_UPDATE,Завантаження даних...
TID_BATTLE_ROYALE_28,Політ фантазії
TID_SHAMAN_SHIBA_SKIN,ШІБА-ІНУ НІТА
TID_PENNY_BUNNY_SKIN,ЗАЙКА ПЕННІ
TID_SHAMAN_SHIBA_SKIN_SHOP,ШІБА-ІНУ НІТА
TID_PENNY_BUNNY_SKIN_SHOP,ЗАЙКА ПЕННІ
TID_PURCHASE_POPUP_CONFIRM_OFFER,КУПИТИ ВИБРАНЕ?
TID_PURCHASE_POPUP_CONFIRM_SKIN,КУПИТИ СКІН?
TID_PURCHASE_POPUP_CONFIRM_HERO,КУПИТИ БІЙЦЯ?
TID_SELECT_COLOR_TITLE,ВИБРАТИ КОЛІР
TID_PROFILE_COLOR,КОЛІР
TID_POPUP_BRAWLTV_TITLE,BRAWL TV
TID_POPUP_BRAWLTV_TEXT,Спостерігайте за грою зірок Gale Brawl зі всього світу.
TID_POPUP_BRAWLTV_BUTTON,ВПЕРЕД
TID_GOLDRUSH_28,Чух-чух
TID_GOLDRUSH_29,Всі по вагонах
TID_GOLDRUSH_30,Божевільний поїзд
TID_GOLDRUSH_31,Вагонетка без гальм
TID_GOLDRUSH_32,Спільний вагон
TID_GOLDRUSH_33,Зміїна печера
TID_GOLDRUSH_34,Конвеєр
TID_ROBO_WARS_10,Прямо до цілі
TID_ROBO_WARS_11,Спаринг
TID_ROBO_WARS_12,Шосе роботів
TID_ROBO_WARS_13,Барахолка
TID_ROBO_WARS_14,Небезпечна зона
TID_BATTLE_ROYALE_29,Золота лихоманка
TID_BATTLE_ROYALE_30,Пляжна бійка
TID_BATTLE_ROYALE_31,Королівський прийом
TID_BATTLE_ROYALE_32,Райдужні острови
TID_BATTLE_ROYALE_33,Прямо в яблучко
TID_BALL_17,У центрі уваги
TID_BALL_18,Місиво на полі
TID_BALL_19,Точний удар
TID_BALL_20,Вирішальний момент
TID_BALL_21,Кручена подача
TID_SUPPORT_CREATOR_BUTTON,Підтримати автора
TID_SUPPORT_CREATOR_LABEL,Підтриманий: <NAME>
TID_SUPPORT_CREATOR_POPUP_TITLE,ПІДТРИМКА АВТОРА КОНТЕНТУ
TID_SUPPORT_CREATOR_POPUP_TEXT,Підтримай улюбленого автора. Всі витрачені тобою кристали допоможуть підтримати цього автора.
TID_SUPPORT_CREATOR_POPUP_ENTER_CODE,Введи код автора:
TID_SUPPORT_CREATOR_POPUP_BUTTON,ВВІД
TID_SUPPORT_CREATOR_POPUP_INPUT_CODE,Введи тут код автора
TID_SUPPORT_CREATOR_POPUP_BUTTON_MORE,Докладніше
TID_SUPPORT_CREATOR_POPUP_INVALID_NAME,"Недійсний код автора!\nПеревір ще раз, будь ласка."
TID_SUPPORT_SUCCESS_FLOATER,Тепер ти підтримуєш автора <NAME>!
TID_SUPPORT_LINK_FAIL_FLOATER,Посилання для підтримки автора недійсне або термін його дії минув.
TID_STAT_DAMAGE_PER_PROXIMITY_MINE,Пошкодження від міни
TID_SUPPORT_CREATOR_SHOP_TITLE,ПІДТРИМКА АВТОРА КОНТЕНТУ
TID_SUPPORT_CREATOR_BTN_SUPPORT,ВВІД КОДУ
TID_SUPPORT_CREATOR_BTN_CHANGE,ЗМІНИТИ
TID_SUPPORT_CREATOR_BTN_STOP,ПРИПИНИТИ
TID_SUPPORT_CREATOR_INFO,"Введи код автора контенту, і\nкожна твоя купівля за кристали допоможе підтримати цього автора!"
TID_SUPPORT_CREATOR_SUPPORTING,Я підтримую автора
TID_SUPPORT_CREATOR_NOT_SUPPORTING,Ти не підтримуєш нікого з авторів контенту.
TID_STOP_SUPPORTING_CREATOR_TITLE,Припинення підтримки автора контенту
TID_STOP_SUPPORTING_CREATOR_DESC,<NAME>: хочеш припинити підтримку?
TID_OFFER_POPUP_CONFIRMATION_POPUP,Точно хочеш купити «<offer_name>»?
TID_OFFER_POPUP_CONFIRMATION_POPUP_NO_NAME,Точно хочеш зробити купівлю?
TID_BRAWLTV_FAILED,Не вдалося ввімкнути Brawl TV. Спробуй пізніше!
TID_LINE_ACCOUNT_BIND_INFO_TITLE,Прив'язати LINE
TID_LINE_ACCOUNT_BIND_INFO,"Прив'язавши обліковий запис до LINE, ти зможеш бачити в списку друзів своїх друзів із LINE, що грають у Gale Brawl. Вони також бачитимуть твій обліковий запис Gale Brawl, онлайн-статус і зможуть запрошувати тебе грати разом. Прив'язати зараз?"
TID_LINE_LOG_OUT_TITLE,Відв'язати LINE
TID_LINE_LOG_OUT_DESC,Точно хочеш відв'язати свій обліковий запис LINE?
TID_LINE_CONNECT,Під'єднати LINE
TID_LINE_CONNECT_UP,ПІД'ЄДНАТИ LINE
TID_LINE_CONNECTED,LINE під'єднаний
TID_LINE_CONNECTED_UP,LINE ПІД'ЄДНАНИЙ
TID_SKIN_INFO_FX_TURRET,— особливу модель бійця;\n— особливу модель турелі;\n— спеціальні ефекти.
TID_SPEC_ABI_SPED_FULL_AMMO,Хоум-ран
TID_SPEC_ABI_SPED_FULL_AMMO_DESC,"Коли шкала хоум-рану заряджена повністю, Бібі рухається на <c00cc00><VALUE1> %</c> швидше."
TID_BASEBALL,БІБІ
TID_BASEBALL_SHORT_DESC,ВІДБИВАЮЧИЙ
TID_BASEBALL_DESC,"На полі! Коли шкала хоум-рану заряджена повністю, удар Бібі відкидає ворогів назад. Її Супер — пружна кулька з жуйки, що прошиває ворогів наскрізь."
TID_BASEBALL_WEAPON,ТРИ СТРАЙКИ
TID_BASEBALL_ULTI,ЖУЙКА
TID_BASEBALL_WEAPON_DESC,"Коли шкала атаки Бібі заповниться, почне заряджатися шкала хоум-рану. Зарядивши її повністю, Бібі відкине ворогів назад одним ударом!"
TID_BASEBALL_ULTI_DESC,"Бібі відбиває битою пружну кульку жуйки, яка прошиває ворогів наскрізь і може вразити одну й ту саму ціль кілька разів!"
TID_BARLEY_MS_SKIN,БАРЛІ З ВИПІЧКАМИ
TID_BARLEY_MS_SKIN_SHOP,БАРЛІ\nЗ ВИПІЧКАМИ
TID_BROCK_HOTROD_SKIN,СТРІТРЕЙСЕР БРОК
TID_BROCK_HOTROD_SKIN_SHOP,СТРІТРЕЙСЕР\nБРОК
TID_CARL_RR_SKIN,ШАЛЕНИЙ КАРЛ
TID_CARL_RR_SKIN_SHOP,ШАЛЕНИЙ\nКАРЛ
TID_BARLEY_MAPLE_SKIN,КЛЕНОВИЙ БАРЛІ
TID_BARLEY_MAPLE_SKIN_SHOP,КЛЕНОВИЙ\nБАРЛІ
TID_BANKHEIST_14B,Піт-стоп
TID_BANKHEIST_15,На узбіччі
TID_IAP_RETROPOLIS_PACK,Набір кристалів «Ретрополіс»
TID_IAP_RETROCOIN_PACK_1,Набір монет (1/3)
TID_IAP_RETROCOIN_PACK_2,Набір монет (2/3)
TID_IAP_RETROCOIN_PACK_3,Набір монет (3/3)
TID_GOLDRUSH_21C,Біржовий крах
TID_SPEC_SPOT_FROM_AIR,Пильність
TID_SPEC_SUPER_RANGE,Шквал картечі
TID_SPEC_SUPER_RANGE_DESC,"Дальність і швидкість пострілів Супера Шеллі збільшуються на <c00cc00><VALUE1> %,</c> а купчастість стрільби підвищується."
TID_SPEC_ABI_PET_ATTACK_SPEED,Ведмідь-шатун
TID_SPEC_ABI_PET_ATTACK_SPEED_DESC,Ведмідь Ніти атакує швидше. Час між його ударами скорочується на <c00cc00><VALUE1> %.</c>
TID_SPEC_ABI_LOW_HEALTH_SHIELD,Міцний хлопець
TID_SPEC_ABI_LOW_HEALTH_SHIELD_DESC,"Коли в Булла залишається менше <c00cc00><VALUE1> %</c> здоров'я, у нього з'являється щит. Цей щит зменшує всю зазнану ним шкоду на <c00cc00><VALUE2> %.</c>"
TID_SPEC_ABI_ATTACK_RANGE,Магнум
TID_SPEC_ABI_ATTACK_RANGE_DESC,Дальність і швидкість пострілів Кольта збільшуються на <c00cc00><VALUE1> %.</c>
TID_SPEC_ABI_TURRET_AOE,Мамині обійми
TID_SPEC_ABI_TURRET_AOE_DESC,Лікувальна турель тепер ще й завдає ворогам <c00cc00><VALUE1></c> очок шкоди за секунду.
TID_SPEC_ABI_SPEED_AFTER_ULTI,Швидкість метеорита
TID_SPEC_ABI_SPEED_AFTER_ULTI_DESC,Ель Прімо рухається на <c00cc00><VALUE1> %</c> швидше протягом <c00cc00><VALUE2></c> с. після активації Супера.
TID_SPEC_ABI_HOT_INVISIBLE,Таємні ліки
TID_SPEC_ABI_HOT_INVISIBLE_DESC,"Леон відновлює <c00cc00><VALUE1></c> очок здоров'я за секунду, поки діє його Супер."
TID_SPEC_ULTI_BURN,Вогняні кулі
TID_SPEC_ULTI_BURN_DESC,Ядра з гармати Пенні підпалюють землю на 3 секунди. Вороги в зоні пожежі втрачають <c00cc00><VALUE1></c> очок здоров'я за секунду!
TID_SPEC_ABI_REPAIR_SELF,Добре змащений
TID_SPEC_ABI_REPAIR_SELF_DESC,"Якщо Тік не втрачає здоров'я та не атакує сам, він починає відновлювати здоров'я на <c00cc00><VALUE1></c> с. раніше."
TID_HEAD_HEALTH,Свіжа голова
TID_CLUSTER_BOMB_DUDE_SHORT_DESC,МЕТАЛЬНИК
TID_CLUSTER_BOMB_DUDE_DESC,"Вибуховий характер і невгамовна енергія в металічній оболонці! Тік кидає міни, а за допомогою Супера — і свою голову, яка шукає найближчу ціль і вибухає."
TID_CLUSTER_BOMB_DUDE_WEAPON,МІНІМІНИ
TID_CLUSTER_BOMB_DUDE_ULTI,ШИБАЙГОЛОВА
TID_CLUSTER_BOMB_DUDE_WEAPON_DESC,"Тік кидає касетну міну, яка розділяється до приземлення. Міни вибухають через кілька секунд або під час зіткнення з ціллю."
TID_CLUSTER_BOMB_DUDE_ULTI_DESC,"Тік знімає та кидає власну голову. Приземлившись, голова шукає найближчу ціль і вибухає під час контакту!"
TID_CLUSTER_BOMB_DUDE,ТІК
TID_SPEC_ABI_PREY_ON_THE_WEAK,Стерв'ятник
TID_SPEC_DAMAGE_SUPER,Сольний номер
TID_SPEC_DAMAGE_SUPER_DESC,"Супер Поко тепер уражає й ворогів, завдаючи <c00cc00><VALUE1></c> очок шкоди."
TID_SPEC_ABI_SUPER_DESTROY_WALLS,Розгром
TID_SPEC_ABI_SUPER_DESTROY_WALLS_DESC,Тепер Супер Карла знищує укриття та перешкоди.
TID_SPEC_ABI_SUPER_SLOW,Липка жуйка
TID_SPEC_ABI_SUPER_SLOW_DESC,Супер Бібі сповільнює ворогів на <c00cc00><VALUE1></c> с.!
TID_SPEC_ABI_DAMAGE_BUFF_SUPER,Їжакові рукавиці
TID_SPEC_ABI_DAMAGE_BUFF_SUPER_DESC,"Удари Троянди завдають на <c00cc00><VALUE1></c> очок шкоди більше, поки діє її Супер."
TID_SPEC_ABI_STUN_TRAP,Ведмежий капкан
TID_SPEC_ABI_STUN_TRAP_DESC,"Замість того, щоб відкидати ворогів назад, пастки Бо тепер оглушують ворога на <c00cc00><VALUE1></c> с.!"
TID_SPEC_ABI_TURRET_ELECTRICITY,Масовий шок
TID_SPEC_ABI_TURRET_ELECTRICITY_DESC,"Скраппі стріляє енергосферами, які відскакують від одного ворога до іншого. Після відскоку сфера пролітає <c00cc00><VALUE1> %</c> своєї звичайної дистанції."
TID_SPEC_EXTRA_BULLET,Ракета № 4
TID_SPEC_EXTRA_BULLET_DESC,"Брок збільшує кількість боєприпасів, заряджаючи пристрій четвертою ракетою (довелося викинути термос, що займав її комірку)."
TID_SPEC_ABI_SPIKES_LOW_HEALTH,Гостра реакція
TID_SPEC_ABI_SPIKES_LOW_HEALTH_DESC,"Коли в Спайка залишається менше <c00cc00><VALUE1> %</c> здоров'я, він починає стріляти голками, кожна з яких завдає <c00cc00><VALUE2></c> очок шкоди!"
TID_SPEC_ABI_RELOAD_ON_HIT,Кешбек
TID_SPEC_ABI_RELOAD_ON_HIT_DESC,"Якщо постріл Пайпер досягає ворога, її гвинтівка тут же відновлює <c00cc00><VALUE1></c> заряду."
TID_SPEC_ABI_GAIN_HEALTH,Губка
TID_SPEC_ABI_GAIN_HEALTH_DESC,Френк отримує <c00cc00><VALUE1></c> додаткових очок здоров'я.
TID_SPEC_ABI_DASH_SHIELD,Невловимий
TID_SPEC_ABI_DASH_SHIELD_DESC,"Коли Мортис стрибає вперед, то вся завдана йому шкода зменшується на <c00cc00><VALUE2> %</c> на <c00cc00><VALUE1></c> с."
TID_SPEC_ABI_SUPER_DAMAGE,Демонтаж
TID_SPEC_ABI_SUPER_DAMAGE_DESC,Супер Майка завдає на <c00cc00><VALUE1></c> очок шкоди більше.
TID_SPEC_ABI_SPEED_LOW_HEALTH,Відступ машин
TID_SPEC_ABI_SPEED_LOW_HEALTH_DESC,"Коли в Ріко залишається менше <c00cc00><VALUE2> %</c> здоров'я, він рухається на <c00cc00><VALUE1> %</c> швидше!"
TID_SPEC_ABI_SUPER_RELOAD,Перезарядка на ходу
TID_SPEC_ABI_SUPER_RELOAD_DESC,Під час використання Супера швидкість перезарядки Дерріла збільшується вдвічі на <c00cc00><VALUE1></c> сек.
TID_SPEC_ABI_DAMAGE_MAIN_ATTACK,Небезпечно для здоров'я
TID_SPEC_ABI_DAMAGE_MAIN_ATTACK_DESC,Пошкодження від основної атаки Барлі збільшується на <c00cc00><VALUE1></c> очок за секунду.
TID_SPEC_ABI_SUPER_HEALS,Рука допомоги
TID_SPEC_ABI_SUPER_HEALS_DESC,"Якщо Супер Джина потрапляє в союзників, вони відновлюють <c00cc00><VALUE1></c> очок здоров'я."
TID_SPEC_ABI_BLACK_HOLE_HEALER,Зцілювальна тінь
TID_SPEC_ABI_BLACK_HOLE_HEALER_DESC,"Супер Тари відкриває просторовий портал, із якого з'являється тіньовий клон Тари, що лікує її саму та її союзників."
TID_SPEC_ABI_RECHARGE,Автоматична перезарядка
TID_SPEC_ABI_RECHARGE_DESC,Тік перезаряджається на <c00cc00><VALUE1> %</c> швидше.
TID_SPEC_ABI_CURVEBALL,Кручена подача
TID_SPEC_ABI_CURVEBALL_DESC,"Голки від кактусової гранати летять по кривій, що збільшує шанс влучення в ціль."
TID_SPEC_ABI_MEDIKIT,Аптечка
TID_SPEC_ABI_MEDIKIT_DESC,"Шеллі миттєво відновлює <c00cc00><VALUE2></c> очок здоров'я, коли його рівень падає нижче ніж <c00cc00><VALUE1> %.</c> Аптечка перезаряджається за <c00cc00><VALUE3></c> с."
TID_SPEC_ABI_IMMUNE_TO_CC,Камінь
TID_SPEC_ABI_IMMUNE_TO_CC_DESC,"Тепер на Сенді не діє ні відкидання назад, ні сповільнення, ні оглушення."
TID_SPEC_ABI_CURE_DEBUFFS,Звукотерапія
TID_SPEC_ABI_CURE_DEBUFFS_DESC,"Атака Поко нейтралізує ефект уповільнення, приголомшення, отрути чи горіння, що діє на товаришів по команді."
TID_SPEC_ABI_SHIELD_HOMERUN,Повна готовність
TID_SPEC_ABI_SHIELD_HOMERUN_DESC,"Коли шкала хоум-рану заряджена повністю, вся зазнана Бібі шкода зменшується на <c00cc00><VALUE1> %.</c>"
TID_SPEC_ABI_WHIRLWIND_SHIELD,Захисний пірует
TID_SPEC_ABI_WHIRLWIND_SHIELD_DESC,"Поки Супер Карла діє, вся завдана йому шкода зменшується на <c00cc00><VALUE2> %.</c>"
TID_SELFHELP_UNAVAILABLE,"Розділ допомоги та підтримки зараз недоступний. Будь ласка, спробуйте пізніше."
TID_SPEC_ABI_LONGER_DASH,Зсіла змія
TID_SPEC_ABI_LONGER_DASH_DESC,"У Мортиса з'являється шкала стрибка! Зарядивши її, він стрибає на <c00cc00><VALUE1> %</c> далі. Зарядка йде <c00cc00><VALUE3></c> с. і починається тільки після заповнення шкали атаки."
TID_HERO_BUNDLE_HOOK,Дар Джина
TID_HERO_BUNDLE_CLUSTER_BOMB_DUDE,Сховок Тіка
TID_HERO_BUNDLE_NINJA,Крамниця Леона
TID_HERO_BUNDLE_ROSA,Резерв Троянди
TID_HERO_BUNDLE_WHIRLWIND,Скарб Карла
TID_HERO_BUNDLE_BASEBALL,Багаж Бібі
TID_BO_MECHA_SKIN,БО-МЕХА
TID_CROW_MECHA_SKIN,ВОРОН-МЕХА
TID_BO_MECHA_SKIN_SHOP,БО-МЕХА\n
TID_MIKE_ROBO_SKIN,РОБОМАЙК
TID_CROW_MECHA_SKIN_SHOP,ВОРОН-МЕХА\n
TID_SPIKE_ROBO_SKIN,РОБОСПАЙК
"TID_MIKE_ROBO_SKIN_SHOP""РОБОМАЙК\n",
TID_BO_MECHA_GOLD_SKIN,ЗОЛОТИЙ БО-МЕХА
TID_SPIKE_ROBO_SKIN_SHOP,РОБОСПАЙК\n
TID_CROW_MECHA_GOLD_SKIN,ЗОЛОТИЙ ВОРОН-МЕХА
TID_BO_MECHA_GOLD_SKIN_SHOP,ЗОЛОТИЙ\nБО-МЕХА
TID_BO_MECHA_LIGHT_SKIN,СВІТЛИЙ БО-МЕХА
TID_CROW_MECHA_GOLD_SKIN_SHOP,ЗОЛОТИЙ\nВОРОН-МЕХА
TID_CROW_MECHA_NIGHT_SKIN,ТЕМНИЙ ВОРОН-МЕХА
TID_BO_MECHA_LIGHT_SKIN_SHOP,СВІТЛИЙ\nБО-МЕХА
TID_BULL_LINEBACKER_SKIN,ПІВЗАХИСНИК БУЛЛ
TID_CROW_MECHA_NIGHT_SKIN_SHOP,ТЕМНИЙ\nВОРОН-МЕХА
TID_COLT_OUTLAW_SKIN,БАНДИТ КОЛЬТ
TID_BULL_LINEBACKER_SKIN_SHOP,ПІВЗАХИСНИК\nБУЛЛ
TID_CARL_HOG_RIDER_SKIN,ВЕРШНИК НА КАБАНІ КАРЛ
TID_COLT_OUTLAW_SKIN_SHOP,БАНДИТ\nКОЛЬТ
